state,export,import
Alabama,78502.03,85211.86
Alaska,18606.18,8084.05
Arizona,85397.16,78171.03
Arkansas,25604.03,30971.01
California,670952.57,1603306.8
Colorado,32439.33,52815.76
Connecticut,62026.11,92769.52
Delaware,20534.96,37661.96
District of Colombia,6066.68,3130.5
Florida,224870.03,291144.17
Georgia,151230.47,333776.85
Hawaii,4738.11,18113.48
Idaho,20098.81,20899.9
Illinois,257766.65,507950.93
Indiana,138278.81,193192.77
Iowa,54363.95,37254.57
Kansas,45352.62,45496.47
Kentucky,110012.21,155872.64
Louisiana,225121.8,191498.46
Massachusetts,105378.05,136340.51
Maryland,43685.03,118877.15
Maine,11136.08,14447.94
Michigan,225640.43,500305.89
Minnesota,81376.36,123378.71
Missouri,54730.29,72574.55
Mississippi,45243.16,65339.44
Montana,5814.9,19530.9
North Carolina,121130.19,201094.36
North Dakota,19254.9,13130.7
Nebraska,28326.42,15449.72
New Hampshire,15888.57,41029.07
New Jersey,136485.2,473412.84
New Mexico,13940.62,8787.55
Nevada,34822.45,36594.39
New York,335096.15,527587.81
Ohio,204145.05,269980.78
Oklahoma,23526.56,45511.21
Oregon,81360.69,60557.75
Pennsylvania,157513.32,325062.23
Rhode Island,8963.13,34910.76
South Carolina,118424.81,145843.38
South Dakota,5803.08,4212.56
Tennessee,129745.14,287057.72
Texas,1042987.29,1095983.68
Utah,53721.39,46861.23
Virginia,71401.36,97638.02
Vermont,13867.4,17480.99
Washington,338126.45,200555.15
Wisconsin,89995.55,91260.53
West Virginia,27207.23,14626.91
Wyoming,5380.98,6083.57